time_start_s_since_trigger,time_stop_s_since_trigger,time_mid_s_since_trigger,time_days_since_fermi_gbm,energy_band,energy_flux_erg_s_cm2_text,energy_flux_erg_s_cm2,energy_flux_upper_limit_erg_s_cm2,energy_flux_err_erg_s_cm2,photon_flux_ph_s_cm2_text,photon_flux_ph_s_cm2,photon_flux_upper_limit_ph_s_cm2,photon_flux_err_ph_s_cm2,photon_index,photon_index_err,test_statistic,is_upper_limit,source_arxiv,source_tex_path,source_table,notes
3000.0,4429.2,3714.6,0.042993056,100 MeV-100 GeV,2.67\times10^{-08},2.67e-08,,1.43e-08,3.06\times10^{-05},3.06e-05,,1.06e-05,2.10,0.283,57,false,2302.04388,GRB221009A_astroph_v2.tex,tab:data:LAT,Times are with respect to the Fermi/GBM trigger. Photon index convention is F_E proportional to E^-Gamma.
4429.2,6539.4,5484.3,0.063475694,100 MeV-100 GeV,9.54\times10^{-09},9.54e-09,,2.69e-09,1.12\times10^{-05},1.12e-05,,1.88e-06,2.11,0.141,177,false,2302.04388,GRB221009A_astroph_v2.tex,tab:data:LAT,Times are with respect to the Fermi/GBM trigger. Photon index convention is F_E proportional to E^-Gamma.
9654.9,14254.6,11954.8,0.13836516,100 MeV-100 GeV,4.44\times10^{-09},4.44e-09,,1.73e-09,5.41\times10^{-06},5.41e-06,,1.37e-06,2.13,0.209,79,false,2302.04388,GRB221009A_astroph_v2.tex,tab:data:LAT,Times are with respect to the Fermi/GBM trigger. Photon index convention is F_E proportional to E^-Gamma.
14254.6,21045.8,17650.2,0.20428472,100 MeV-100 GeV,1.72\times10^{-09},1.72e-09,,9.79e-10,2.35\times10^{-06},2.35e-06,,9.06e-07,2.19,0.334,30,false,2302.04388,GRB221009A_astroph_v2.tex,tab:data:LAT,Times are with respect to the Fermi/GBM trigger. Photon index convention is F_E proportional to E^-Gamma.
21045.8,31072.3,26059.0,0.30160938,100 MeV-100 GeV,1.44\times10^{-09},1.44e-09,,7.95e-10,2.01\times10^{-06},2.01e-06,,8.81e-07,2.20,0.354,21,false,2302.04388,GRB221009A_astroph_v2.tex,tab:data:LAT,Times are with respect to the Fermi/GBM trigger. Photon index convention is F_E proportional to E^-Gamma.
31072.3,45875.7,38474.0,0.44530093,100 MeV-100 GeV,5.70\times10^{-10},5.7e-10,,2.79e-10,1.17\times10^{-06},1.17e-06,,5.26e-07,2.46,0.402,13,false,2302.04388,GRB221009A_astroph_v2.tex,tab:data:LAT,Times are with respect to the Fermi/GBM trigger. Photon index convention is F_E proportional to E^-Gamma.
45875.7,67731.6,56803.7,0.65744965,100 MeV-100 GeV,4.34\times10^{-10},4.34e-10,,1.8e-10,1.27\times10^{-06},1.27e-06,,5.08e-07,2.87,0.445,12,false,2302.04388,GRB221009A_astroph_v2.tex,tab:data:LAT,Times are with respect to the Fermi/GBM trigger. Photon index convention is F_E proportional to E^-Gamma.
67731.6,100000.,83865.8,0.97066898,100 MeV-100 GeV,<6.42\times10^{-10},,6.42e-10,,<5.79\times10^{-07},,5.79e-07,,2.00,,5,true,2302.04388,GRB221009A_astroph_v2.tex,tab:data:LAT,Times are with respect to the Fermi/GBM trigger. Photon index convention is F_E proportional to E^-Gamma.
